time,open,high,low,close,volume
2018-03-12,9535.04,9892.0,8742.07,9120.75,18751.02057959
2018-03-13,9115.24,9482.79,8830.0,9142.32,16001.47534639
2018-03-14,9152.07,9356.14,7948.0,8196.69,21191.0231358
2018-03-15,8195.99,8425.0,7682.0,8265.05,18387.61138793
2018-03-16,8265.05,8613.06,7914.08,8258.54,16498.62433531
2018-03-17,8258.54,8356.4,7730.23,7860.83,12048.6688914
2018-03-18,7860.83,8324.92,7325.37,8188.24,19547.36114711
2018-03-19,8205.55,8718.74,8114.17,8596.93,19396.08835883
2018-03-20,8596.79,9051.0,8313.01,8904.02,13454.8222604
2018-03-21,8904.02,9188.1,8754.83,8893.79,12100.99713332
2018-03-22,8892.18,9099.59,8503.52,8704.67,12587.63392229
2018-03-23,8708.52,8920.79,8265.0,8920.79,13749.78486097
2018-03-24,8917.99,9020.0,8505.0,8547.0,9731.98236841
2018-03-25,8541.96,8680.0,8368.63,8453.9,9155.91214778
2018-03-26,8451.12,8500.0,7831.15,8149.66,17693.4153393
2018-03-27,8152.26,8211.62,7742.11,7791.7,12385.25028422
2018-03-28,7791.69,8104.98,7723.03,7932.41,8437.64467971
2018-03-29,7932.41,7968.0,6914.53,7088.38,22138.11413228
2018-03-30,7086.14,7302.35,6550.0,6850.0,29101.44802706
2018-03-31,6839.63,7231.73,6794.26,6928.62,11579.59705718
2018-04-01,6926.5,7045.71,6427.16,6813.52,18046.94087395
2018-04-02,6816.31,7106.5,6759.96,7052.76,13624.16035566
2018-04-03,7052.75,7506.84,7001.28,7416.27,16089.54162903
2018-04-04,7415.53,7430.0,6710.38,6799.95,15779.20246661
2018-04-05,6799.37,6928.7,6578.95,6771.69,11894.53597807
2018-04-06,6771.3,6850.0,6510.0,6618.33,8478.41806897
2018-04-07,6627.7,7069.13,6600.99,6904.9,7683.0416526
2018-04-08,6904.21,7104.52,6894.8,7027.26,4352.69794202
2018-04-09,7027.26,7175.83,6611.49,6780.1,10103.91621615
2018-04-10,6782.39,6900.0,6653.21,6835.67,6480.19276418
2018-04-11,6824.75,6984.92,6809.26,6940.94,5825.41064556
2018-04-12,6940.94,8069.34,6758.45,7923.78,19033.3803344
2018-04-13,7923.78,8239.33,7753.32,7896.92,19605.94275077
2018-04-14,7885.9,8232.14,7835.0,8000.41,8935.53071477
2018-04-15,8003.39,8417.0,8001.23,8354.22,7542.84081564
2018-04-16,8353.43,8424.99,7905.0,8048.15,10866.60295749
2018-04-17,8054.68,8160.85,7806.81,7890.87,9277.15121538
2018-04-18,7890.87,8235.0,7870.35,8172.84,9227.20459808
2018-04-19,8172.83,8297.99,8074.44,8271.31,9436.84632763
2018-04-20,8273.0,8934.0,8216.9,8861.0,16059.62267134
2018-04-21,8865.78,9023.4,8608.0,8920.71,15336.30792743
2018-04-22,8924.93,9036.52,8760.0,8789.96,9346.45175925
2018-04-23,8781.7,9006.39,8771.22,8946.95,10286.1177149
2018-04-24,8942.0,9737.16,8930.0,9648.0,20460.50898304
2018-04-25,9648.36,9755.53,8751.0,8864.99,33035.90404482
2018-04-26,8855.07,9326.79,8647.29,9274.48,20042.96970211
2018-04-27,9277.32,9387.82,8901.09,8921.43,11375.51437547
2018-04-28,8916.54,9442.34,8854.47,9345.11,15558.40230193
2018-04-29,9352.97,9538.75,9180.0,9393.99,10940.71803063
2018-04-30,9396.32,9443.96,9111.0,9242.17,8085.68829456
2018-05-01,9243.51,9249.99,8815.91,9066.9,12138.2639605
2018-05-02,9066.9,9259.16,8975.23,9222.0,10575.17497792
2018-05-03,9220.0,9799.99,9165.19,9732.43,11670.79957863
2018-05-04,9737.0,9784.73,9527.38,9696.57,7326.05207111
2018-05-05,9689.0,9948.98,9670.68,9823.28,7403.10502352
2018-05-06,9827.04,9918.41,9375.0,9623.54,8155.5768566
2018-05-07,9621.99,9634.5,9175.0,9359.52,13616.3485933
2018-05-08,9356.79,9450.0,9015.0,9167.69,11418.31053651
2018-05-09,9181.52,9368.79,8974.62,9308.49,11368.83432539
2018-05-10,9308.49,9393.0,8987.74,9020.99,11764.9775057
2018-05-11,9007.19,9018.38,8351.0,8411.42,20383.92660992
2018-05-12,8408.79,8652.8,8208.81,8481.6,15464.92940302
2018-05-13,8481.72,8775.9,8335.56,8696.58,9835.22450915
2018-05-14,8696.54,8900.9,8286.57,8674.36,18861.93709627
2018-05-15,8674.53,8865.0,8400.0,8474.99,12391.83198691
2018-05-16,8481.99,8505.33,8100.01,8346.59,12705.12321984
2018-05-17,8337.77,8500.0,7980.0,8067.03,8259.12452442
2018-05-18,8058.16,8275.1,7929.53,8248.87,7181.20388348
2018-05-19,8248.99,8395.0,8141.08,8231.2,3784.07576637
2018-05-20,8225.55,8590.0,8170.71,8518.48,5314.99889979
2018-05-21,8518.64,8589.1,8320.0,8391.76,6126.97105348
2018-05-22,8403.23,8417.65,7951.41,7984.08,9101.06078693
2018-05-23,7983.98,8032.01,7435.49,7502.89,17635.90129337
2018-05-24,7509.99,7733.99,7267.24,7586.88,11648.36524358
2018-05-25,7579.3,7661.07,7328.13,7471.18,10088.84331121
2018-05-26,7459.21,7622.87,7276.04,7335.99,4043.55765023
2018-05-27,7335.99,7412.57,7213.09,7347.39,3144.45110906
2018-05-28,7348.64,7445.0,7084.99,7112.5,6583.63252959
2018-05-29,7112.2,7537.0,7026.9,7469.45,11049.92099287
2018-05-30,7469.45,7559.0,7273.89,7375.73,8940.4540053
2018-05-31,7375.64,7601.23,7330.22,7492.28,7339.00726931
2018-06-01,7492.28,7620.01,7348.45,7511.6,6762.6275727
2018-06-02,7511.72,7700.0,7438.92,7642.0,4012.16875521
2018-06-03,7642.0,7790.69,7581.03,7703.67,4729.21008365
2018-06-04,7712.97,7764.44,7449.68,7488.26,6990.5513527
2018-06-05,7494.99,7685.0,7360.0,7617.98,9968.45508961
2018-06-06,7617.98,7695.46,7482.61,7658.57,7058.05577232
2018-06-07,7658.99,7750.0,7618.99,7689.28,7545.00925066
2018-06-08,7676.41,7697.0,7542.0,7618.11,4676.55832777
2018-06-09,7618.11,7686.45,7468.31,7492.7,2713.78104511
2018-06-10,7498.0,7498.0,6627.7,6781.17,14392.69540615
2018-06-11,6781.17,6919.97,6634.86,6880.61,11409.52423218
2018-06-12,6880.76,6880.76,6461.42,6557.67,8827.5994997
2018-06-13,6557.66,6624.45,6120.0,6307.4,19190.50457858
2018-06-14,6308.49,6708.1,6270.69,6646.1,14185.83821156
2018-06-15,6638.8,6666.66,6370.0,6390.6,7132.20678871
2018-06-16,6390.6,6557.81,6333.63,6487.92,3553.69972603
2018-06-17,6487.92,6575.35,6429.23,6453.41,2828.75680848
2018-06-18,6451.03,6793.0,6381.25,6707.5,5940.1743975
2018-06-19,6711.3,6841.81,6660.21,6736.52,5443.67979628
2018-06-20,6728.44,6809.26,6558.95,6756.58,5193.76884592
2018-06-21,6756.6,6792.2,6677.85,6718.33,4837.32442832
2018-06-22,6718.33,6737.97,5940.0,6050.45,18544.14405465
2018-06-23,6055.17,6261.0,6048.54,6177.38,4585.87147205
2018-06-24,6169.91,6255.05,5780.0,6153.4,11423.59392896
2018-06-25,6153.6,6365.34,6075.01,6253.61,9689.68930701
2018-06-26,6252.28,6277.0,6025.68,6068.0,7751.62208792
2018-06-27,6073.99,6181.11,5985.0,6135.64,7446.86155074
2018-06-28,6135.64,6165.49,5818.14,5848.33,8878.39857291
2018-06-29,5845.2,6299.0,5774.72,6204.24,12067.37316767
2018-06-30,6204.01,6510.0,6190.28,6385.71,6915.08887702
2018-07-01,6385.75,6438.55,6259.34,6349.99,4160.70556721
2018-07-02,6345.48,6667.57,6270.69,6612.98,8799.80247408
2018-07-03,6605.46,6666.0,6464.39,6507.99,5924.86541706
2018-07-04,6507.99,6792.28,6413.2,6584.25,6706.7340062
2018-07-05,6575.62,6700.0,6445.31,6533.69,7692.21577694
2018-07-06,6533.69,6636.15,6449.76,6596.53,5457.67218749
2018-07-07,6604.74,6820.0,6510.0,6759.99,4842.79587112
2018-07-08,6755.46,6783.54,6674.6,6706.6,5145.84575684
2018-07-09,6706.6,6814.72,6620.0,6666.75,7165.21723333
2018-07-10,6666.75,6683.9,6270.84,6299.46,9163.01977492
2018-07-11,6304.45,6400.0,6285.0,6380.0,6370.13680136
